gene_name,TCGA-UCEC(Black Or African American)(106)
MYT1,0.103773585
DENND4B,0.103773585
NOTCH1,0.103773585
SPTAN1,0.103773585
OXR1,0.103773585
SHANK2,0.103773585
KIAA2018,0.103773585
MCF2L2,0.103773585
SULF1,0.103773585
CACNA1F,0.103773585
BCORL1,0.103773585
DLG3,0.103773585
CTCFL,0.103773585
JAK1,0.103773585
TENM4,0.103773585
NCOA3,0.103773585
SPTY2D1,0.103773585
DLG2,0.103773585
OTOGL,0.103773585
CCDC88A,0.103773585
PXDNL,0.103773585
XKR4,0.103773585
THOC2,0.103773585
CCDC85A,0.103773585
ANKRD62,0.103773585
BCL11A,0.103773585
CHD6,0.103773585
ROCK2,0.103773585
ADO,0.103773585
USP34,0.103773585
XIST,0.103773585
WWC3,0.103773585
AKT3,0.103773585
MOV10L1,0.103773585
NEBL,0.103773585
EPS8L1,0.103773585
MPDZ,0.103773585
HDX,0.103773585
PPP1R12B,0.103773585
TTC28,0.103773585
LCT,0.103773585
PIK3C2B,0.103773585
FANCD2,0.103773585
KIF1A,0.103773585
TIAM1,0.103773585
FCGBP,0.103773585
COL14A1,0.103773585
TLN1,0.103773585
URB1,0.103773585
DCHS1,0.103773585
POTEH,0.103773585
MORC4,0.103773585
PDXK,0.103773585
SCN2A,0.103773585
COL3A1,0.103773585
FMN2,0.103773585
RAPGEF4,0.103773585
SVEP1,0.103773585
BRD3,0.103773585
CAPN6,0.103773585
KIF14,0.103773585
ZBED4,0.103773585
USP28,0.103773585
ZHX1,0.103773585
MYH14,0.103773585
ROBO2,0.103773585
DDX17,0.103773585
ELFN2,0.103773585
PTPRG,0.103773585
TDRD5,0.103773585
PAPPA,0.103773585
LRCH2,0.103773585
HTR2C,0.103773585
ZNF618,0.103773585
CACNA1D,0.103773585
FAM135B,0.103773585
AGO2,0.103773585
TEX15,0.103773585
DENND3,0.103773585
CCDC7,0.103773585
ALG13,0.103773585
DSCAML1,0.103773585
PKDREJ,0.103773585
UNC79,0.103773585
LIMCH1,0.103773585
ALPK3,0.103773585
TNS3,0.103773585
F8,0.103773585
PLXNA4,0.103773585
ADCY1,0.103773585
CMYA5,0.103773585
ZBTB4,0.103773585
HMGCR,0.103773585
CSPG4,0.103773585
KIAA1549,0.103773585
DDHD1,0.103773585
MAGEC1,0.103773585
MAGEC3,0.103773585
CSNK1G1,0.103773585
TDRD6,0.103773585
RPGRIP1L,0.103773585
MAST4,0.103773585
FAM135A,0.103773585
NCOR1,0.103773585
RNF17,0.103773585
C5orf42,0.103773585
CDH10,0.103773585
CTNND2,0.103773585
ZNF268,0.103773585
ADGRB3,0.103773585
DDX60,0.103773585
GPR179,0.103773585
MAP9,0.103773585
ANKRD34C,0.103773585
TRIM13,0.103773585
STARD9,0.103773585
SEC24A,0.103773585
ZNF275,0.103773585
CHD9,0.103773585
CNGB1,0.103773585
ITGAD,0.103773585
SRCAP,0.103773585
TAOK2,0.103773585
pk,0.103773585
PLOD3,0.103773585
PPP1R9A,0.103773585
SLITRK1,0.103773585
PEG10,0.103773585
COL1A2,0.103773585
HIVEP1,0.103773585
ATXN1L,0.103773585
GRM3,0.103773585
XYLT1,0.103773585
PUM1,0.103773585
HCFC1,0.103773585
SUPT16H,0.103773585
LAMB1,0.103773585
NRCAM,0.103773585
PCDH17,0.103773585
SRRM2,0.103773585
FLNA,0.103773585
PKD1,0.103773585
CACNA1H,0.103773585
JPH3,0.103773585
LRBA,0.103773585
PRTG,0.103773585
ABHD13,0.103773585
ROS1,0.103773585
TIAM2,0.103773585
ADGRL1,0.103773585
UTP20,0.103773585
KCNH4,0.103773585
11-Sep,0.103773585
ELOVL6,0.103773585
LAMA4,0.103773585
SHPRH,0.103773585
MRC2,0.103773585
ANO4,0.103773585
POLR2B,0.103773585
ADGRF5,0.103773585
PPM1E,0.103773585
BZRAP1,0.103773585
KIAA1456,0.103773585
WDFY3,0.103773585
GABRB3,0.103773585
ADGRG2,0.103773585
DYNC1H1,0.103773585
TBX5,0.103773585
MYOM3,0.103773585
MGA,0.103773585
SETD1B,0.103773585
ATP10D,0.103773585
LPA,0.103773585
SEZ6L2,0.094339623
EYA4,0.094339623
GRM5,0.094339623
GRIK1,0.094339623
SPTBN2,0.094339623
NSD1,0.094339623
CLCN5,0.094339623
ABCA3,0.094339623
PHF10,0.094339623
FLRT2,0.094339623
PTPRT,0.094339623
APP,0.094339623
NLGN3,0.094339623
ITSN1,0.094339623
LRFN5,0.094339623
ANPEP,0.094339623
KIF7,0.094339623
NTRK3,0.094339623
MST1P2,0.094339623
BRWD1,0.094339623
ARID4B,0.094339623
PCNXL2,0.094339623
CCSER2,0.094339623
DGKK,0.094339623
TMPRSS15,0.094339623
NCAM2,0.094339623
CRIM1,0.094339623
TSC1,0.094339623
SYNJ2,0.094339623
CLIP4,0.094339623
HIPK1,0.094339623
DHX57,0.094339623
ARHGAP17,0.094339623
GNAS,0.094339623
SLC12A5,0.094339623
ITSN2,0.094339623
TNRC6A,0.094339623
TSPYL2,0.094339623
ADGB,0.094339623
MAGI2,0.094339623
SMG1,0.094339623
EML4,0.094339623
ABL1,0.094339623
NUMA1,0.094339623
WNK3,0.094339623
IGF2R,0.094339623
ZNF512B,0.094339623
EML6,0.094339623
PHACTR2,0.094339623
NRIP1,0.094339623
UMODL1,0.094339623
ARHGAP6,0.094339623
MALAT1,0.094339623
ADCY10,0.094339623
RGL1,0.094339623
POLA1,0.094339623
COL12A1,0.094339623
ASTN1,0.094339623
PAPPA2,0.094339623
CREB5,0.094339623
ZFAND4,0.094339623
TTC17,0.094339623
PHEX,0.094339623
DNM3,0.094339623
SPRED1,0.094339623
PRRC2C,0.094339623
PCNX,0.094339623
IBTK,0.094339623
RBP3,0.094339623
SHC4,0.094339623
TOB2,0.094339623
ARHGAP22,0.094339623
PPARA,0.094339623
SPG11,0.094339623
CELSR1,0.094339623
HOXA9,0.094339623
MAP1A,0.094339623
FOXO3,0.094339623
BACH2,0.094339623
Unknown,0.094339623
IFI16,0.094339623
CNR1,0.094339623
JMJD1C,0.094339623
HKDC1,0.094339623
COLGALT2,0.094339623
MEIS2,0.094339623
HDAC6,0.094339623
PAX6,0.094339623
CFAP54,0.094339623
USP6NL,0.094339623
ADAMTSL3,0.094339623
TBL1X,0.094339623
MICAL3,0.094339623
MARK1,0.094339623
ESRRG,0.094339623
PKD1L1,0.094339623
PPP2R5A,0.094339623
KCNA4,0.094339623
SOGA3,0.094339623
ZMIZ1,0.094339623
TRIM9,0.094339623
RP11-114H24.7,0.094339623
SRPK1,0.094339623
RERE,0.094339623
SETDB1,0.094339623
CERS2,0.094339623
MED14,0.094339623
MDGA1,0.094339623
ARID3B,0.094339623
HRNR,0.094339623
CEP295,0.094339623
PTPRVP,0.094339623
SVIL,0.094339623
C14orf37,0.094339623
KIAA0586,0.094339623
MTMR10,0.094339623
VPS13C,0.094339623
PTPRC,0.094339623
BCL9,0.094339623
RGS3,0.094339623
MAFB,0.094339623
EPPK1,0.094339623
ZHX2,0.094339623
MYO1D,0.094339623
DCBLD2,0.094339623
INSR,0.094339623
LRP12,0.094339623
PTPRN2,0.094339623
OTUD4,0.094339623
GNG7,0.094339623
HHIP,0.094339623
HEG1,0.094339623
NAA15,0.094339623
MKNK2,0.094339623
LARP1B,0.094339623
OGT,0.094339623
DSEL,0.094339623
CP,0.094339623
XKR5,0.094339623
ATAD5,0.094339623
SSH2,0.094339623
ZNF654,0.094339623
ADCY8,0.094339623
DIP2B,0.094339623
MYOCD,0.094339623
TRPV2,0.094339623
PDE4D,0.094339623
ULK2,0.094339623
EGFLAM,0.094339623
EFR3A,0.094339623
XPO4,0.094339623
ADAMTS16,0.094339623
ILF3,0.094339623
KBTBD8,0.094339623
MTSS1,0.094339623
MYO18A,0.094339623
CNTN3,0.094339623
FER1L6,0.094339623
NUFIP2,0.094339623
IGSF10,0.094339623
ANKRD50,0.094339623
EYA1,0.094339623
ABLIM2,0.094339623
MYOM1,0.094339623
CENPC,0.094339623
ENTHD2,0.094339623
BAIAP2,0.094339623
KIAA1211,0.094339623
TANC2,0.094339623
ATP2B1,0.094339623
SH3TC1,0.094339623
SLC4A4,0.094339623
RECQL5,0.094339623
NCAPG,0.094339623
KCNJ2,0.094339623
DCAF4L1,0.094339623
UHRF1BP1L,0.094339623
NRG1,0.094339623
WRN,0.094339623
TNK2,0.094339623
ATP13A3,0.094339623
TNKS,0.094339623
PLD1,0.094339623
RBM19,0.094339623
CELF4,0.094339623
FHOD3,0.094339623
VPS13D,0.094339623
SLITRK3,0.094339623
RP1L1,0.094339623
DYRK2,0.094339623
JADE3,0.094339623
KIF2B,0.094339623
CDH2,0.094339623
VPS8,0.094339623
MAP3K13,0.094339623
DMTN,0.094339623
PTPRB,0.094339623
BMP1,0.094339623
SHROOM3,0.094339623
MYH3,0.094339623
MYH1,0.094339623
CREBRF,0.094339623
FOXD4,0.094339623
NLRP5,0.094339623
ABCA1,0.094339623
CLASP1,0.094339623
NR4A3,0.094339623
TBC1D4,0.094339623
ZNF813,0.094339623
ZNF611,0.094339623
RAB3GAP1,0.094339623
GLG1,0.094339623
RIF1,0.094339623
PCDHGA4,0.094339623
ACVR1,0.094339623
BAZ2B,0.094339623
PCDHB14,0.094339623
SCN9A,0.094339623
ANKHD1-EIF4EBP3,0.094339623
MATR3,0.094339623
BCL9L,0.094339623
TCERG1,0.094339623
PTBP3,0.094339623
GABRB2,0.094339623
RBM39,0.094339623
CNTN5,0.094339623
DOCK2,0.094339623
CDH8,0.094339623
DYSF,0.094339623
DYNC2H1,0.094339623
TENM2,0.094339623
CH17-140K24.8,0.094339623
ANKRD36C,0.094339623
CYFIP2,0.094339623
RAB14,0.094339623
ASTN2,0.094339623
ZNF300,0.094339623
SIRPA,0.094339623
N4BP2,0.094339623
HYDIN,0.094339623
AP2A1,0.094339623
SPATA31E1,0.094339623
OSBPL6,0.094339623
LHFP,0.094339623
COL6A3,0.094339623
ATF7IP,0.094339623
VCAN,0.094339623
HDLBP,0.094339623
GOLT1B,0.094339623
NEURL4,0.094339623
HRH1,0.094339623
KCNH8,0.094339623
SPTBN4,0.094339623
DENND4C,0.094339623
KIF21A,0.094339623
MYH8,0.094339623
GLDC,0.094339623
ACVR2B,0.094339623
TTC21A,0.094339623
TRAK1,0.094339623
MBLAC2,0.094339623
DGKD,0.094339623
HNRNPK,0.094339623
CASP8,0.094339623
ITGAV,0.094339623
SMAD5,0.094339623
TLE4,0.094339623
C5orf24,0.094339623
HECW2,0.094339623
SATB2,0.094339623
TRPM3,0.094339623
KCNA1,0.094339623
NLRP1,0.094339623
PTPRZ1,0.094339623
KPNA3,0.094339623
ZZEF1,0.094339623
USP37,0.094339623
PRDM2,0.094339623
PPIP5K2,0.094339623
ZC3H13,0.094339623
AMY2B,0.094339623
HSPG2,0.094339623
MAP7D3,0.094339623
ZNF518A,0.094339623
FGF13,0.094339623
PHF6,0.094339623
FAM46D,0.094339623
PIK3AP1,0.094339623
IGSF1,0.094339623
ENOX2,0.094339623
FAM178A,0.094339623
RP1-274L7.1,0.094339623
RNF128,0.094339623
ABCA4,0.094339623
NOX1,0.094339623
LAMP2,0.094339623
DRP2,0.094339623
COL4A5,0.094339623
ATP2B3,0.094339623
STIL,0.094339623
AMMECR1,0.094339623
RNF220,0.094339623
GBF1,0.094339623
FGFR2,0.094339623
KIAA1210,0.094339623
WDR44,0.094339623
TACC2,0.094339623
AGTR2,0.094339623
NFIA,0.094339623
TTLL7,0.094339623
FRMPD3,0.094339623
NRAP,0.094339623
ADGRL3,0.094339623
EIF4G3,0.094339623
MON2,0.08490566
DDX26B,0.08490566
UBR4,0.08490566
NEDD4L,0.08490566
ZNF365,0.08490566
EIF3A,0.08490566
ZNRF3,0.08490566
KNTC1,0.08490566
WDR7,0.08490566
CNOT1,0.08490566
SLIT3,0.08490566
DCC,0.08490566
SBF1,0.08490566
MBNL1,0.08490566
KCNB2,0.08490566
TRPC1,0.08490566
ARHGEF7,0.08490566
CYLD,0.08490566
HDGF,0.08490566
PRPF4B,0.08490566
FBRS,0.08490566
PDP1,0.08490566
HEATR5B,0.08490566
TTC27,0.08490566
RSF1,0.08490566
CNOT6,0.08490566
GABRA6,0.08490566
TET1,0.08490566
ZNF236,0.08490566
CAPN14,0.08490566
CAPN5,0.08490566
CDH19,0.08490566
RALYL,0.08490566
KIF17,0.08490566
KPNA4,0.08490566
PLXNA1,0.08490566
CCDC39,0.08490566
CFAP69,0.08490566
C2CD3,0.08490566
LAMA3,0.08490566
ASPH,0.08490566
CLVS1,0.08490566
NFAT5,0.08490566
CHD7,0.08490566
TOX,0.08490566
MIB1,0.08490566
FCHSD2,0.08490566
SMC6,0.08490566
GABRQ,0.08490566
TRIB2,0.08490566
CTAGE11P,0.08490566
C10orf71,0.08490566
ATP11B,0.08490566
SLC12A4,0.08490566
KIAA1671,0.08490566
YTHDF3,0.08490566
VAV2,0.08490566
MYO18B,0.08490566
ATP1B4,0.08490566
ZNF449,0.08490566
RXRA,0.08490566
BRD1,0.08490566
SRRT,0.08490566
FAM19A5,0.08490566
ZNF831,0.08490566
OLFM1,0.08490566
LARP1,0.08490566
NCOA1,0.08490566
TNIK,0.08490566
FNDC3B,0.08490566
BHLHE22,0.08490566
ESRP1,0.08490566
ZMYND8,0.08490566
PLAG1,0.08490566
SOS1,0.08490566
TEAD1,0.08490566
KLHL34,0.08490566
GALNTL6,0.08490566
RPS6KA3,0.08490566
AMOT,0.08490566
SH3KBP1,0.08490566
MAP3K15,0.08490566
ZSCAN10,0.08490566
EIF4B,0.08490566
SP1,0.08490566
CDKL5,0.08490566
PRKAG2,0.08490566
NUP210L,0.08490566
SETD8,0.08490566
SPOCK2,0.08490566
KCNQ3,0.08490566
CRAMP1L,0.08490566
APPL1,0.08490566
HECTD1,0.08490566
CACNA1A,0.08490566
RBM15B,0.08490566
PRRC2A,0.08490566
ZNF490,0.08490566
DCAF8L1,0.08490566
AMOTL1,0.08490566
STAB1,0.08490566
KRT1,0.08490566
PBRM1,0.08490566
COL22A1,0.08490566
PHF20L1,0.08490566
DMBT1,0.08490566
AUTS2,0.08490566
FAM208A,0.08490566
ADCY9,0.08490566
HEPHL1,0.08490566
HTR1F,0.08490566
USP31,0.08490566
LAMC3,0.08490566
PIWIL1,0.08490566
GOLGB1,0.08490566
E2F3,0.08490566
ESYT1,0.08490566
GPR158,0.08490566
UBFD1,0.08490566
CREBZF,0.08490566
NUP214,0.08490566
KIF13A,0.08490566
STK3,0.08490566
SLC26A9,0.08490566
RBBP6,0.08490566
CLCN4,0.08490566
ARHGAP4,0.08490566
PTCHD2,0.08490566
CGGBP1,0.08490566
CIITA,0.08490566
KLHL13,0.08490566
ACIN1,0.08490566
ADAM29,0.08490566
FAM83A,0.08490566
HOXC10,0.08490566
ADAR,0.08490566
PKD1P6,0.08490566
TMC7,0.08490566
KIAA0430,0.08490566
GPM6A,0.08490566
PICALM,0.08490566
THRAP3,0.08490566
AMBRA1,0.08490566
MORC1,0.08490566
ATP13A5,0.08490566
ICE2,0.08490566
PTPRM,0.08490566
STAB2,0.08490566
MYH4,0.08490566
PABPC5,0.08490566
MAP2K4,0.08490566
SREK1,0.08490566
COL6A1,0.08490566
PTPN13,0.08490566
HIPK2,0.08490566
AFF1,0.08490566
ELAC2,0.08490566
DSPP,0.08490566
PKD2,0.08490566
SLC5A1,0.08490566
ATP11C,0.08490566
STARD13,0.08490566
CDC27,0.08490566
TDRD1,0.08490566
GAS7,0.08490566
CNOT6L,0.08490566
HSF5,0.08490566
BRIP1,0.08490566
BCAS3,0.08490566
SIPA1L2,0.08490566
DPYSL2,0.08490566
STX6,0.08490566
DOCK5,0.08490566
ZFYVE16,0.08490566
PER1,0.08490566
SLITRK2,0.08490566
VWA8,0.08490566
TFDP3,0.08490566
CXCL5,0.08490566
ZNF366,0.08490566
BDP1,0.08490566
FAM13A,0.08490566
FRY,0.08490566
JADE2,0.08490566
SMIM10,0.08490566
SRRM4,0.08490566
VASH2,0.08490566
MYRF,0.08490566
IARS2,0.08490566
GPAM,0.08490566
NAV1,0.08490566
MTMR3,0.08490566
RAB3GAP2,0.08490566
NOS1,0.08490566
NLK,0.08490566
ZNF711,0.08490566
PDZD2,0.08490566
CFAP46,0.08490566
CNTNAP1,0.08490566
MAP2K3,0.08490566
PAPD7,0.08490566
FMNL1,0.08490566
NRXN2,0.08490566
HNF1A,0.08490566
CUX2,0.08490566
ARHGEF10L,0.08490566
ATXN2,0.08490566
GPATCH8,0.08490566
TP53BP2,0.08490566
FAM122B,0.08490566
FAM122C,0.08490566
SPECC1,0.08490566
OAS2,0.08490566
C7,0.08490566
ZNF281,0.08490566
CCDC88B,0.08490566
TPCN1,0.08490566
KIAA0753,0.08490566
ABL2,0.08490566
STIP1,0.08490566
CXCL12,0.08490566
HMGB3,0.08490566
PSD2,0.08490566
